hour,raw_n_samples,raw_mean_radiance,raw_median_radiance,raw_min_radiance,raw_max_radiance,hourly_grid_cells,hourly_grid_observations,hourly_grid_mean_radiance,hourly_grid_median_radiance,hourly_grid_min_radiance,hourly_grid_max_radiance
2020-12-01 02:00:00,23,176.12312648607337,165.95343627929688,112.37791748046875,246.9700744628906,23,23,176.12312648607337,165.95343627929688,112.37791748046875,246.9700744628906
2020-12-01 03:00:00,1,209.0751953125,209.0751953125,209.0751953125,209.0751953125,1,1,209.0751953125,209.0751953125,209.0751953125,209.0751953125
2020-12-01 05:00:00,10,135.83354095458986,131.9787170410156,102.57751770019532,159.41983642578126,10,10,135.83354095458986,131.9787170410156,102.57751770019532,159.41983642578126
2020-12-01 06:00:00,14,218.54891510009767,225.08251495361327,190.1277557373047,238.4763946533203,14,14,218.54891510009767,225.08251495361327,190.1277557373047,238.4763946533203
2020-12-01 07:00:00,24,67.89499181111654,103.23087768554687,-31.361279296874997,182.28743591308594,24,24,67.89499181111654,103.23087768554687,-31.361279296874997,182.28743591308594
2020-12-01 09:00:00,24,52.81326548258463,15.6806396484375,-22.214239501953127,153.5395965576172,24,24,52.81326548258463,15.6806396484375,-22.214239501953127,153.5395965576172
2020-12-01 10:00:00,20,166.99881225585938,158.4397964477539,131.32535705566406,225.40919494628906,20,20,166.99881225585938,158.4397964477539,131.32535705566406,225.40919494628906
2020-12-01 11:00:00,3,129.14749043782552,124.13839721679688,100.61743774414063,162.68663635253907,3,3,129.14749043782552,124.13839721679688,100.61743774414063,162.68663635253907
2020-12-01 12:00:00,24,50.635398864746094,17.640719604492187,-33.97471923828125,152.23287658691407,24,24,50.635398864746094,17.640719604492187,-33.97471923828125,152.23287658691407
2020-12-01 17:00:00,24,187.89544245402018,186.86095581054687,105.84431762695313,246.31671447753905,24,24,187.89544245402018,186.86095581054687,105.84431762695313,246.31671447753905
2020-12-01 18:00:00,16,153.090411567688,161.37991638183593,81.66999816894531,182.28743591308594,16,16,153.090411567688,161.37991638183593,81.66999816894531,182.28743591308594
2020-12-01 19:00:00,8,9.228709793090822,14.373919677734374,-13.720559692382812,21.560879516601563,8,8,9.228709793090822,14.373919677734374,-13.720559692382812,21.560879516601563
2020-12-01 20:00:00,24,121.8516372680664,132.3053970336914,16.987359619140626,184.9008758544922,24,24,121.8516372680664,132.3053970336914,16.987359619140626,184.9008758544922
2020-12-01 21:00:00,4,131.16201705932616,129.0385971069336,123.4850372314453,143.0858367919922,4,4,131.16201705932616,129.0385971069336,123.4850372314453,143.0858367919922
2020-12-01 22:00:00,20,168.76288421630858,166.93347625732423,138.51231689453127,203.19495544433593,20,20,168.76288421630858,166.93347625732423,138.51231689453127,203.19495544433593
2020-12-01 23:00:00,23,185.18494541334067,193.3945556640625,112.37791748046875,251.54359436035156,23,23,185.18494541334067,193.3945556640625,112.37791748046875,251.54359436035156
2020-12-02 01:00:00,24,115.37248407999674,130.3453170776367,-22.867599487304688,212.99535522460937,24,24,115.37248407999675,130.3453170776367,-22.867599487304688,212.99535522460937
2020-12-02 02:00:00,14,155.5930136544364,170.20027618408204,114.33799743652344,210.38191528320314,14,14,155.5930136544364,170.20027618408204,114.33799743652344,210.38191528320314
2020-12-02 03:00:00,10,205.15503540039063,207.11511535644533,185.55423583984373,227.36927490234376,10,10,205.15503540039063,207.11511535644533,185.55423583984373,227.36927490234376
2020-12-02 04:00:00,24,183.34914588928223,179.6739959716797,120.2182373046875,260.6906341552735,24,24,183.34914588928223,179.6739959716797,120.2182373046875,260.6906341552735
2020-12-02 05:00:00,1,119.56487731933595,119.56487731933595,119.56487731933595,119.56487731933595,1,1,119.56487731933595,119.56487731933595,119.56487731933595,119.56487731933595
2020-12-02 06:00:00,23,109.84969840671704,137.85895690917968,-33.32135925292969,203.19495544433593,23,23,109.84969840671704,137.85895690917968,-33.32135925292969,203.19495544433593
