fold_id,space_fold,time_fold,n_train,n_test,rmse,mae,r2,rf_mean_rmse,rf_mean_mae,rf_mean_r2,baseline_rmse,baseline_mae,baseline_r2,variogram_model,variogram_nlags,variogram_weight,kriging_backend,kriging_n_closest_points,kriging_status,kriging_n_train,variogram_source,variogram_psill,variogram_range,variogram_nugget,variogram_structured_sill_ratio,kriging_time_std_hours,kriging_time_axis_scale_km,wrap_longitude_for_kriging,mean_kriging_log_variance
space0_time0,0,0,506,33,128.0085872000347,118.56821587036563,-17.345771038059205,113.7635886486903,103.22639169147016,-13.489864588907421,70.92552430137489,64.32140633981562,-4.632002903914932,spherical,6,True,loop,64,fit,506,auto,0.11413367114026683,14687.294161338425,0.1910722386354561,0.37395629469998354,23.114794912534297,5640.59699341235,False,0.29322292761175694
space0_time1,0,1,519,69,87.17783441589353,70.00445661736039,-1.5667937982300213,91.75214329343143,78.01380798211451,-1.8432252297943883,82.60769326655776,75.38119611923736,-1.3047287452737937,spherical,6,True,loop,64,fit,519,auto,0.18003190242371012,9008.408260759299,0.12080389658064018,0.5984390920879291,31.621731378979053,5389.242067145007,False,0.28433983007096586
space0_time2,0,2,525,60,81.8856707845574,68.42378608233221,-0.8397827127048585,81.67213179688125,67.85845866358717,-0.8301997641119265,72.69499452694203,65.75676991836826,-0.4499723751128908,spherical,6,True,loop,64,fit,525,auto,0.09278021636638092,6818.837251058532,0.19555044997038573,0.3217840736302908,31.85432909489961,6478.082004789906,False,0.3021334699801649
space0_time3,0,3,490,34,115.54646986127614,100.10854018956896,-3.792847738126384,97.46087796248146,82.5544106416326,-2.4098942283475218,73.71793770474484,69.1231581921309,-0.9508623323006831,spherical,6,True,loop,64,fit,490,auto,0.15447469254519464,18054.14119253683,0.23787454348573475,0.393717327215637,20.34529756138523,5707.2572895202175,False,0.3732544784478153
space1_time0,1,0,534,62,67.69149832223151,52.30179196886166,-0.10207792814107752,66.70079003076712,51.693281429984616,-0.07005476727353277,67.59092554596161,55.58552377689478,-0.09880553205040243,spherical,6,True,loop,64,fit,534,auto,0.23914340437910753,4107.715042949927,0.039931687730194086,0.8569141823858843,23.650300800760366,4728.55116042886,False,0.30462924158262106
space1_time1,1,1,520,71,67.55898350902766,48.30853442906735,0.15360064951669905,69.83379089901216,53.87036064293857,0.09564208345314529,73.9839343255895,62.18310836647999,-0.015041861433995107,spherical,6,True,loop,64,fit,520,auto,0.2281519876743913,2040.3091720629518,0.03368275536252915,0.8713587243165065,29.38051320540568,4408.949900668357,False,0.2717934879106928
space1_time3,1,3,519,64,73.4858365220311,63.20770511641974,-0.6879994130713081,69.25215227330179,57.78735935894825,-0.4991032898975767,59.141921430998295,48.484976239218724,-0.093341584817344,spherical,6,True,loop,64,fit,519,auto,0.26481476946173677,4202.84916922897,0.017244364769012446,0.9388625905839127,21.13442586277228,4729.203550621334,False,0.30854069684085517
space2_time0,2,0,439,63,28.51978941029288,24.146848699585217,-0.7766136024584618,25.83934700821392,20.735378828826914,-0.45835556359560026,28.971026849904455,22.108823460492903,-0.8332771753602259,spherical,6,True,loop,64,fit,439,auto,0.0703760483692712,2489.8714448519195,0.4353557833724126,0.13915684944509812,24.341174895316264,6283.7667714921945,False,0.5162433056822325
space2_time1,2,1,424,71,28.413926003428422,22.246644362565206,-2.923402029824748,18.841788689610794,15.385215082924166,-0.7252203805260877,18.211280837236234,14.5940455199784,-0.6116892367471283,spherical,6,True,loop,64,fit,424,auto,0.11386941453958867,1618.6743140701365,0.35223170734499004,0.24430195335978255,31.738774512231405,5929.270494466165,False,0.4758041019634441
space2_time2,2,2,456,88,24.08030996377862,19.61566684655701,-0.5112194282728453,22.212513145411513,18.2841038841884,-0.2858750748290604,26.32183420273521,20.17608160659414,-0.8056587673508451,spherical,6,True,loop,64,fit,456,auto,0.14106392732199963,4264.872265730637,0.2497463417332355,0.36095245824275507,31.21318876830057,6946.316436198574,False,0.40772923594797467
space2_time3,2,3,430,71,36.94269253982053,31.210265019620596,-3.1851298848984584,27.664447964729213,22.75228549950896,-1.3469069264477698,27.50010629662999,22.926177194320843,-1.3191059753355057,spherical,6,True,loop,64,fit,430,auto,0.1956695277206145,6263.049029083109,0.3644849605706356,0.3493135051323143,20.408543503096773,6127.213873908965,False,0.5913285550498741
space3_time0,3,0,528,49,84.30549100605789,66.98796625341832,-0.2925093725426957,81.11777610331029,64.1326190379977,-0.1966139132677509,75.498419989316,66.5758408879226,-0.03656777345371309,spherical,6,True,loop,64,fit,528,auto,0.10897408026598711,2650.3029917724575,0.13541383986523797,0.445906165114352,24.338414362531456,5912.0875349441685,False,0.25268974943534683
space3_time1,3,1,475,19,70.78019549377433,62.76852212319369,-0.6563817308852222,63.7742130839346,52.25222070786436,-0.34470535134990987,57.28814247174943,44.180048072952395,-0.0850915905559928,spherical,6,True,loop,64,fit,475,auto,0.11703562658970951,4404.447116056389,0.0961888129048362,0.5488846722596415,32.06687237011287,5655.907582668742,False,0.22231344721049492
space3_time2,3,2,538,67,99.14575518044076,75.80364590467074,-0.5235039485161133,95.60285902427059,73.5291483816822,-0.41656691482186226,82.98817100958566,65.00581394826246,-0.06740128272436574,spherical,6,True,loop,64,fit,538,auto,0.10025521245737343,3857.7850563847132,0.15067821808185902,0.39952911910515215,30.678831465700952,6646.300716621682,False,0.2620600685116998
space3_time3,3,3,517,55,81.36763284092595,70.75726580650597,-0.5909832351628421,73.2123310781736,60.644875670192555,-0.2880440331134475,65.7840871930685,55.93446012766112,-0.03992961425176289,spherical,6,True,loop,64,fit,517,auto,0.15353786870237626,4642.369004280549,0.14899503129102817,0.5075080055945108,20.525862658250972,5747.99767433194,False,0.32328057708492514
