variable,label,n,pearson,spearman,abs_spearman
era5_msl,Mean sea-level pressure,1027,0.12018015939538448,0.22473641587261017,0.22473641587261017
era5_sp,Surface pressure,1027,0.04071992375929881,0.1882158730137092,0.1882158730137092
era5_hcc,High cloud cover,1027,-0.15140999527783428,-0.15708732533378508,0.15708732533378508
era5_mcc,Medium cloud cover,1027,-0.009316870828705286,-0.10840709008960432,0.10840709008960432
era5_cloud_layer_sum,Cloud layer sum,1027,-0.013923631576609604,-0.09729354989584824,0.09729354989584824
era5_t2m_c,2 m temperature (C),1027,-0.20331592136618934,-0.08215169867048287,0.08215169867048287
era5_tcwv,Total column water vapour,1027,-0.31119923064358773,-0.08154903280244506,0.08154903280244506
era5_lcc,Low cloud cover,1027,0.14992148452854293,0.038572219126777864,0.038572219126777864
