period_start,n_observations,mean_radiance,mean_residual,median_residual,std_residual
2020-01-01,6678,147.30674971323165,-6.585838806654713,-5.584169173886735,57.73388231972303
2020-02-01,4799,140.59560810016777,-12.729798185341481,-7.023148796282271,62.46061829163835
2020-03-01,7759,152.5477255346173,-0.3634197573862414,8.683235865619508,65.22141988514508
2020-04-01,6231,152.6861706354897,0.32033067094709194,12.347648802588537,60.313082428506696
2020-05-01,9006,161.64224701774882,9.720956421965735,19.44676427679255,56.068816779668396
2020-06-01,8448,164.41725145578383,12.986112212265622,21.68319486619245,54.73125443906247
2020-07-01,8242,159.21808913595842,8.272670147385222,18.860486470347524,58.012941631535
2020-08-01,7437,153.85279117208248,3.4083154451345687,18.822321426731804,63.99911083982639
2020-09-01,7328,147.5445193994514,-2.4092085160206937,16.51555607734815,67.67333394001544
2020-10-01,7701,150.39072552056703,0.9326429957366849,11.4472934565037,64.34587445182441
2020-11-01,6024,149.61303753542552,0.6078073937413218,5.021360942845007,59.66919697934354
2020-12-01,7979,142.17797839399836,-6.303793056228014,-2.9282162657723063,54.33942367012573
2021-01-01,6994,142.1130833565524,-5.870833666690436,-3.6249216841495127,54.72603035733631
2021-02-01,5998,140.18972443278213,-7.33311416555731,-2.4010162489946367,58.74008571739446
2021-03-01,4807,136.14312240635505,-10.87479703141175,2.6914236460013115,62.977469011802626
2021-04-01,5012,141.52687189478164,-5.020529247228173,9.558057295781452,65.91274962659365
2021-05-01,5852,145.93541076774883,-0.1200305946776874,12.101184782432824,65.42383360293928
2021-06-01,3417,159.22365634238332,13.617807297502313,22.474867979355906,59.40108753760242
2021-07-01,3626,158.08374588761748,12.990610314563524,30.211283674109936,65.61815343263211
2021-08-01,1738,135.52670987286146,-9.159157012286277,7.655059605816604,85.02267166670035
