period_start,n_observations,mean_radiance,mean_residual,median_residual,std_residual
2020-01-06,1787,149.35034154241956,-4.714183419850169,-3.10278176382252,58.03243210146531
2020-01-13,1292,152.34210704886138,-1.6311347775566882,-3.0164939858576076,54.76685575979452
2020-01-20,1615,144.7295529656661,-9.124285162035891,-7.5252729564623735,57.98800822174617
2020-01-27,1448,147.13730040281519,-6.606353976468879,-6.054732232169201,58.393828653410985
2020-02-03,536,136.5790539528007,-17.06499729916003,-9.913034168256559,59.59662014049709
2020-02-10,693,143.5308381095765,-9.949988328750647,-9.718515843405243,55.98929275529823
2020-02-17,1545,135.28188522585774,-18.119652145133077,-12.923719880580506,62.27463173718325
2020-02-24,1394,142.32889534554832,-10.943558420493407,-4.631269880095701,67.47513256766764
2020-03-02,1776,151.10641922478203,-2.068099107710467,3.677998262972963,58.91410385572906
2020-03-09,1699,142.34787457192766,-10.715873210428772,-4.098227486027469,65.29184561041095
2020-03-16,1861,153.34860900682122,0.3964852518547014,7.722632504908631,71.77577705102664
2020-03-23,1866,155.65233726051716,2.816577211182838,13.778648729348348,63.11359935373008
2020-03-30,1462,156.26252568945512,3.5327769390883432,15.848113527884593,60.91322920929379
2020-04-06,784,151.37284150415536,-1.2723179590752296,10.374796713331733,60.020693888840604
2020-04-13,1118,148.78491244239328,-3.6961077337772728,7.929482434691494,68.20974360921493
2020-04-20,1822,150.13975790716816,-2.2529157750424154,10.925616374826092,59.33941093928372
2020-04-27,1864,154.93079064659807,2.6532812520129485,13.682445480158236,56.789746971302094
2020-05-04,2084,163.34940171195998,11.186701964246607,22.274831503878502,58.07199910600569
2020-05-11,2021,158.3015918986506,6.250212321249605,15.889338370199226,57.59035935909202
2020-05-18,1973,162.58596659301202,10.648932023839633,22.45313950363328,55.952879979969396
2020-05-25,2087,162.9630699256418,11.13767772992489,18.659227187047065,52.521673974377116
2020-06-01,2037,159.03494099994822,7.321645153274644,18.772403918440062,59.24988298884473
2020-06-08,2025,160.22838957308545,8.626740705233773,17.572325247064867,56.353045790828524
2020-06-15,1918,167.27889180745274,15.793520766731318,23.620172181423285,50.263234387881226
2020-06-22,1865,161.93203184398823,10.555804702344002,22.397002021838688,58.28393759840457
2020-06-29,2044,167.76392109193446,16.501253606056295,21.861564205326673,52.608794639944634
2020-07-06,1939,162.716625542171,11.565011637479275,20.01936180765381,53.79991481220829
2020-07-13,1846,155.31633931301525,4.278154793117221,15.615657194047373,58.00557649108357
2020-07-20,1920,158.05662803967795,7.130697434441745,16.966006192461307,58.45374951631657
2020-07-27,1878,156.4762374715429,5.662159837705014,19.050019576541715,60.94143508426333
2020-08-03,1737,164.17465713667886,13.472503593921711,25.099377690157468,58.521202889384725
