fold_id,space_fold,time_fold,n_train,n_test,feature,impurity_importance,feature_group
space0_time2,0,2,606,109,era5_tcwv,0.0442561340215537,Atmospheric
space0_time2,0,2,606,109,era5_msl,0.03781701947428017,Atmospheric
space0_time2,0,2,606,109,era5_t2m,0.04071725015956888,Atmospheric
space0_time2,0,2,606,109,era5_lsm,0.00730398442353131,Atmospheric
space0_time2,0,2,606,109,era5_lcc,0.019204734154014098,Atmospheric
space0_time2,0,2,606,109,era5_mcc,0.014355337857545827,Atmospheric
space0_time2,0,2,606,109,era5_hcc,0.012815218631812645,Atmospheric
space0_time2,0,2,606,109,era5_tco3,0.029895913551321526,Atmospheric
space0_time2,0,2,606,109,era5_skt,0.04158762594510153,Atmospheric
space0_time2,0,2,606,109,era5_tsn,0.03816122898040438,Atmospheric
space0_time2,0,2,606,109,era5_fal,0.025344938483445496,Atmospheric
space0_time2,0,2,606,109,era5_lmlt,0.03943921711877987,Atmospheric
space0_time2,0,2,606,109,era5_lict,0.10098213291032128,Atmospheric
space0_time2,0,2,606,109,era5_deg0l,0.03298700018646398,Atmospheric
space0_time2,0,2,606,109,era5_avg_sdlwrf,0.04595515577951194,Atmospheric
space0_time2,0,2,606,109,era5_avg_snlwrf,0.01432665953707506,Atmospheric
space0_time2,0,2,606,109,era5_avg_snlwrfcs,0.01847457256322269,Atmospheric
space0_time2,0,2,606,109,hour,0.04403417789697229,Time
space0_time2,0,2,606,109,latitude,0.08012329639146586,Space
space0_time2,0,2,606,109,longitude,0.07727226348109234,Space
space0_time3,0,3,568,47,era5_swvl1,0.03418475070781647,Atmospheric
space0_time3,0,3,568,47,era5_stl1,0.05564652496271311,Atmospheric
space0_time3,0,3,568,47,era5_cl,0.002095489837457037,Atmospheric
space0_time3,0,3,568,47,era5_cvl,0.003914477543412614,Atmospheric
space0_time3,0,3,568,47,era5_cvh,0.002725290619773469,Atmospheric
space0_time3,0,3,568,47,era5_tvl,0.0019083544327307288,Atmospheric
space0_time3,0,3,568,47,era5_tvh,0.0014337650875652429,Atmospheric
space0_time3,0,3,568,47,era5_siconc,0.00020597233252814175,Atmospheric
space0_time3,0,3,568,47,era5_asn,0.0008626443569895211,Atmospheric
space0_time3,0,3,568,47,era5_sst,0.03288909725566669,Atmospheric
space0_time3,0,3,568,47,era5_slt,0.0029368700187103604,Atmospheric
space0_time3,0,3,568,47,era5_lai_lv,0.007086996964569537,Atmospheric
space0_time3,0,3,568,47,era5_lai_hv,0.005748883861514664,Atmospheric
space0_time3,0,3,568,47,era5_sp,0.02739477567806533,Atmospheric
space0_time3,0,3,568,47,era5_tcw,0.04844509570490727,Atmospheric
space0_time3,0,3,568,47,era5_tcwv,0.057028776152260596,Atmospheric
space0_time3,0,3,568,47,era5_msl,0.03470953562905717,Atmospheric
space0_time3,0,3,568,47,era5_t2m,0.04512211464851743,Atmospheric
space0_time3,0,3,568,47,era5_lsm,0.004196287988058302,Atmospheric
space0_time3,0,3,568,47,era5_lcc,0.01570627294584373,Atmospheric
space0_time3,0,3,568,47,era5_mcc,0.011747268341023083,Atmospheric
space0_time3,0,3,568,47,era5_hcc,0.012850613513278182,Atmospheric
space0_time3,0,3,568,47,era5_tco3,0.030306147512759177,Atmospheric
space0_time3,0,3,568,47,era5_skt,0.052041607840363074,Atmospheric
space0_time3,0,3,568,47,era5_tsn,0.05114026919856177,Atmospheric
space0_time3,0,3,568,47,era5_fal,0.019768084631483607,Atmospheric
space0_time3,0,3,568,47,era5_lmlt,0.057965197392436246,Atmospheric
space0_time3,0,3,568,47,era5_lict,0.07193940358149561,Atmospheric
space0_time3,0,3,568,47,era5_deg0l,0.04187163290099309,Atmospheric
space0_time3,0,3,568,47,era5_avg_sdlwrf,0.06711569442303325,Atmospheric
space0_time3,0,3,568,47,era5_avg_snlwrf,0.0169711036627059,Atmospheric
space0_time3,0,3,568,47,era5_avg_snlwrfcs,0.020501572800338517,Atmospheric
space0_time3,0,3,568,47,hour,0.030048161937408304,Time
space0_time3,0,3,568,47,latitude,0.05360305907041071,Space
space0_time3,0,3,568,47,longitude,0.07788820646555183,Space
space1_time0,1,0,644,83,era5_swvl1,0.04415980659613995,Atmospheric
space1_time0,1,0,644,83,era5_stl1,0.04034026031830843,Atmospheric
space1_time0,1,0,644,83,era5_cl,0.00409570226913137,Atmospheric
space1_time0,1,0,644,83,era5_cvl,0.005700274559091587,Atmospheric
space1_time0,1,0,644,83,era5_cvh,0.005651538428924809,Atmospheric
space1_time0,1,0,644,83,era5_tvl,0.0022121266037398776,Atmospheric
space1_time0,1,0,644,83,era5_tvh,0.005055614227308939,Atmospheric
space1_time0,1,0,644,83,era5_siconc,0.00017258630399994841,Atmospheric
space1_time0,1,0,644,83,era5_asn,0.0011499631093863584,Atmospheric
space1_time0,1,0,644,83,era5_sst,0.017441386307370986,Atmospheric
space1_time0,1,0,644,83,era5_slt,0.003547044108484372,Atmospheric
space1_time0,1,0,644,83,era5_lai_lv,0.006518487626729266,Atmospheric
space1_time0,1,0,644,83,era5_lai_hv,0.014924090034107959,Atmospheric
space1_time0,1,0,644,83,era5_sp,0.03255757744966111,Atmospheric
space1_time0,1,0,644,83,era5_tcw,0.0428101992068398,Atmospheric
space1_time0,1,0,644,83,era5_tcwv,0.04620390860347117,Atmospheric
space1_time0,1,0,644,83,era5_msl,0.031212253298845513,Atmospheric
space1_time0,1,0,644,83,era5_t2m,0.04767759587596045,Atmospheric
space1_time0,1,0,644,83,era5_lsm,0.010743496003105783,Atmospheric
space1_time0,1,0,644,83,era5_lcc,0.019015008138552864,Atmospheric
space1_time0,1,0,644,83,era5_mcc,0.01225641608958135,Atmospheric
space1_time0,1,0,644,83,era5_hcc,0.013631666700472698,Atmospheric
space1_time0,1,0,644,83,era5_tco3,0.03129709222180171,Atmospheric
space1_time0,1,0,644,83,era5_skt,0.03210431888432424,Atmospheric
space1_time0,1,0,644,83,era5_tsn,0.031182070015052837,Atmospheric
space1_time0,1,0,644,83,era5_fal,0.031129510949634905,Atmospheric
