fold_id,space_fold,time_fold,n_train,n_test,rmse,mae,r2,baseline_rmse,baseline_mae,baseline_r2
space0_time0,0,0,580,47,56.7315601407754,46.559022664135625,-0.09483406187377375,63.57284379240721,56.21091356165518,-0.37480823427423093
space0_time1,0,1,562,52,68.22785574277621,56.45712929470186,-0.01766212752434293,80.3112295109426,72.80702657769585,-0.4100441686043912
space0_time2,0,2,606,109,102.37171167698686,84.92335917657313,-0.2457690217696329,98.40174695041709,87.18304297251926,-0.15102091386681238
space0_time3,0,3,568,47,94.49668771738702,77.96164757490854,-0.10644169074013021,89.85820966309493,80.29298906695408,-0.00048569309100576774
space1_time0,1,0,644,83,98.15387491639454,80.75894634191899,-0.09120819765687194,96.4954152451578,84.22585389633151,-0.05464447039272735
space1_time1,1,1,632,94,79.99666032911207,63.320828629759646,0.24010780655190245,91.7689881238105,80.59711372376356,-3.587782524405725e-07
space1_time3,1,3,599,50,75.44151467397434,57.9204383459891,-0.18918619950054283,69.53049648421714,57.41258544598677,-0.010135706363499253
space2_time0,2,0,600,38,90.07925943148071,79.47383240383049,0.17017139704064554,98.89858084738763,90.41900369310592,-0.0002738275698250803
space2_time1,2,1,577,38,87.89185861062104,77.36997666402068,0.05764222652841222,100.75351787079208,85.28067207336427,-0.23833731005749925
space2_time2,2,2,600,74,97.7943591778052,81.20665310262123,0.14238610102545002,107.2799101006793,89.8189862023173,-0.0320506274707959
space2_time3,2,3,626,76,92.89257656744837,79.42233045272658,-0.3199773755976829,80.9846650495026,70.32774265500625,-0.0032520362327614905
space3_time0,3,0,540,71,32.53010838821696,27.50421207130724,-1.5215739489199005,29.14751478531612,22.804512514254046,-1.0244345981309326
space3_time1,3,1,524,78,27.872776453322746,23.478211629942606,-1.8619075286778775,24.906358003498067,20.09417822568541,-1.2851545964008508
space3_time2,3,2,525,92,24.23232752968324,19.943879977633664,-0.5124938720027903,24.713899518030832,18.98146050387041,-0.5732071666427045
space3_time3,3,3,535,78,19.56258106094589,14.813018669391745,-0.02925852360227066,30.6054425062274,25.43845334408411,-1.5192396874972984
