feature,feature_group,mean_importance,median_importance,std_importance,max_importance,n_folds
longitude,Space,0.11093072757391972,0.1117053140033094,0.025397625390829244,0.161122974393299,15
latitude,Space,0.11007635994140672,0.11632038429702479,0.01716941067095655,0.13168407430607532,15
hour,Time,0.08251740939080898,0.08010197367438825,0.017697432120530807,0.11104645097328773,15
era5_t2m_c,Atmospheric,0.07944416850161069,0.07807429363430468,0.01646554629673183,0.1177959077942448,15
era5_tcwv,Atmospheric,0.07713863893234209,0.07525345569093929,0.02033476383829673,0.11628157046381586,15
era5_d2m_c,Atmospheric,0.07050398479399837,0.07114821024534089,0.013064552875573865,0.09137600354625139,15
era5_strd,Atmospheric,0.06260461201677749,0.06000082155023303,0.011649941073397924,0.0888109380921226,15
era5_msl,Atmospheric,0.048565335634477805,0.049029343939061935,0.011314803938649259,0.07028437120751399,15
era5_sp,Atmospheric,0.04590869400722894,0.046916685875677044,0.007193441417168952,0.05923983544840605,15
era5_cape,Atmospheric,0.0431417094976884,0.03963179106953162,0.008263720639458527,0.05835041886778069,15
era5_dewpoint_depression,Atmospheric,0.03970128695786963,0.037152083926815856,0.013352771490290781,0.06294411585992635,15
era5_blh,Atmospheric,0.03177227833207543,0.031316723263927905,0.005529104407863605,0.04411978774790103,15
era5_i10fg,Atmospheric,0.02705963136223063,0.027904982399840544,0.004342953996899771,0.034445080057854384,15
era5_lcc,Atmospheric,0.02685608674889237,0.027790143493686952,0.0036190068160684105,0.03154091777149424,15
era5_cloud_layer_sum,Atmospheric,0.026569369359777398,0.026088715172313662,0.0040082325585820665,0.03470752414755276,15
era5_tcc,Atmospheric,0.026063989047128665,0.02579159032563201,0.003246750008356327,0.03209461478232678,15
era5_wind10_speed,Atmospheric,0.024686743341005495,0.024455514808996607,0.0044614439037493235,0.032150617100527676,15
era5_hcc,Atmospheric,0.01922993220084958,0.018673837278377743,0.0033475412735041233,0.025976457355314616,15
era5_mcc,Atmospheric,0.017081378710119128,0.016683141849135105,0.0018001044388577484,0.021159819708961036,15
era5_tp,Atmospheric,0.015124238197368066,0.015452935482871213,0.0017616020796447198,0.018484384440326396,15
era5_cp,Atmospheric,0.015023425452424471,0.014196283206957603,0.0033216580669771655,0.020988590729280568,15
