variable,label,distance_bin,distance_start_km,distance_end_km,distance_mean_km,n_pairs,spatial_autocorrelation
era5_mcc_pct,Medium cloud cover (%),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.04957143027840618
era5_mcc_pct,Medium cloud cover (%),6,4509.968606912773,5411.962328295327,4867.039162655121,932,-0.04141527616552124
era5_mcc_pct,Medium cloud cover (%),7,5411.962328295327,6313.956049677882,5784.053376310686,762,-0.0035529124412785385
era5_mcc_pct,Medium cloud cover (%),8,6313.956049677882,7215.949771060436,6704.564317751114,603,0.01818093145615459
era5_mcc_pct,Medium cloud cover (%),9,7215.949771060436,8117.943492442991,7629.207724215055,459,0.05737973128696554
era5_mcc_pct,Medium cloud cover (%),10,8117.943492442991,9019.937213825546,8566.468055533569,320,-0.011379525262722115
era5_mcc_pct,Medium cloud cover (%),11,9019.937213825546,9921.9309352081,9507.771715950392,188,0.08963465665892267
era5_mcc_pct,Medium cloud cover (%),12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.04325418865730681
era5_hcc_pct,High cloud cover (%),1,0.0,901.9937213825546,515.0510661829162,1083,0.38066419572547094
era5_hcc_pct,High cloud cover (%),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.12111210695583796
era5_hcc_pct,High cloud cover (%),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.002525672471911424
era5_hcc_pct,High cloud cover (%),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,-0.004263045448783493
era5_hcc_pct,High cloud cover (%),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,-0.08365081931783082
era5_hcc_pct,High cloud cover (%),6,4509.968606912773,5411.962328295327,4867.039162655121,932,-0.04999687223435388
era5_hcc_pct,High cloud cover (%),7,5411.962328295327,6313.956049677882,5784.053376310686,762,-0.06050485260262471
era5_hcc_pct,High cloud cover (%),8,6313.956049677882,7215.949771060436,6704.564317751114,603,-0.12806265231295655
era5_hcc_pct,High cloud cover (%),9,7215.949771060436,8117.943492442991,7629.207724215055,459,-0.058764464225850105
era5_hcc_pct,High cloud cover (%),10,8117.943492442991,9019.937213825546,8566.468055533569,320,-0.04477868335713706
era5_hcc_pct,High cloud cover (%),11,9019.937213825546,9921.9309352081,9507.771715950392,188,-0.02714259420775441
era5_hcc_pct,High cloud cover (%),12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.04642804721053901
era5_cloud_layer_sum_pct_points,Cloud layer sum (% points),1,0.0,901.9937213825546,515.0510661829162,1083,0.42208559213581776
era5_cloud_layer_sum_pct_points,Cloud layer sum (% points),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.15475988745463162
era5_cloud_layer_sum_pct_points,Cloud layer sum (% points),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.06147569121955333
era5_cloud_layer_sum_pct_points,Cloud layer sum (% points),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.04490142231263798
era5_cloud_layer_sum_pct_points,Cloud layer sum (% points),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,-0.04191182904154766
era5_cloud_layer_sum_pct_points,Cloud layer sum (% points),6,4509.968606912773,5411.962328295327,4867.039162655121,932,-0.08878837034341003
era5_cloud_layer_sum_pct_points,Cloud layer sum (% points),7,5411.962328295327,6313.956049677882,5784.053376310686,762,-0.021132267854748338
era5_cloud_layer_sum_pct_points,Cloud layer sum (% points),8,6313.956049677882,7215.949771060436,6704.564317751114,603,-0.027446397604564757
era5_cloud_layer_sum_pct_points,Cloud layer sum (% points),9,7215.949771060436,8117.943492442991,7629.207724215055,459,0.034016794744519706
era5_cloud_layer_sum_pct_points,Cloud layer sum (% points),10,8117.943492442991,9019.937213825546,8566.468055533569,320,0.0012969948490655194
era5_cloud_layer_sum_pct_points,Cloud layer sum (% points),11,9019.937213825546,9921.9309352081,9507.771715950392,188,0.09459628057943074
era5_cloud_layer_sum_pct_points,Cloud layer sum (% points),12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.07227234310323341
era5_strd_log1p,log1p(surface thermal radiation downwards),1,0.0,901.9937213825546,515.0510661829162,1083,0.8825003548051867
era5_strd_log1p,log1p(surface thermal radiation downwards),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.7813808291870764
era5_strd_log1p,log1p(surface thermal radiation downwards),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.6328107983698013
era5_strd_log1p,log1p(surface thermal radiation downwards),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.4648339906324792
era5_strd_log1p,log1p(surface thermal radiation downwards),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.30478625012533167
era5_strd_log1p,log1p(surface thermal radiation downwards),6,4509.968606912773,5411.962328295327,4867.039162655121,932,0.1484724673066423
era5_strd_log1p,log1p(surface thermal radiation downwards),7,5411.962328295327,6313.956049677882,5784.053376310686,762,-0.057790391382796985
era5_strd_log1p,log1p(surface thermal radiation downwards),8,6313.956049677882,7215.949771060436,6704.564317751114,603,-0.17381684889215313
era5_strd_log1p,log1p(surface thermal radiation downwards),9,7215.949771060436,8117.943492442991,7629.207724215055,459,-0.27605909893925473
era5_strd_log1p,log1p(surface thermal radiation downwards),10,8117.943492442991,9019.937213825546,8566.468055533569,320,-0.24501216387506772
era5_strd_log1p,log1p(surface thermal radiation downwards),11,9019.937213825546,9921.9309352081,9507.771715950392,188,0.04408683200314258
era5_strd_log1p,log1p(surface thermal radiation downwards),12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.2094663424431711
era5_t2m_c,2 m temperature (C),1,0.0,901.9937213825546,515.0510661829162,1083,0.943085232148893
era5_t2m_c,2 m temperature (C),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.873836912623927
era5_t2m_c,2 m temperature (C),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.7678896450947407
era5_t2m_c,2 m temperature (C),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.6321359177863404
era5_t2m_c,2 m temperature (C),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.4914295877159163
era5_t2m_c,2 m temperature (C),6,4509.968606912773,5411.962328295327,4867.039162655121,932,0.3169727140848781
era5_t2m_c,2 m temperature (C),7,5411.962328295327,6313.956049677882,5784.053376310686,762,0.06059489886123326
era5_t2m_c,2 m temperature (C),8,6313.956049677882,7215.949771060436,6704.564317751114,603,-0.16514873345861586
era5_t2m_c,2 m temperature (C),9,7215.949771060436,8117.943492442991,7629.207724215055,459,-0.18880301117260329
era5_t2m_c,2 m temperature (C),10,8117.943492442991,9019.937213825546,8566.468055533569,320,-0.20481913659087636
era5_t2m_c,2 m temperature (C),11,9019.937213825546,9921.9309352081,9507.771715950392,188,-0.05064400825703921
era5_t2m_c,2 m temperature (C),12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.2885093076350587
era5_d2m_c,2 m dewpoint (C),1,0.0,901.9937213825546,515.0510661829162,1083,0.933610812960233
era5_d2m_c,2 m dewpoint (C),2,901.9937213825546,1803.987442765109,1201.2087089807667,1694,0.8498512949766903
era5_d2m_c,2 m dewpoint (C),3,1803.987442765109,2705.9811641476635,2115.492159709931,1526,0.7239772401877196
era5_d2m_c,2 m dewpoint (C),4,2705.9811641476635,3607.974885530218,3033.3384182597306,1322,0.593006085281055
era5_d2m_c,2 m dewpoint (C),5,3607.974885530218,4509.968606912773,3950.4810682698717,1124,0.4602089498775994
era5_d2m_c,2 m dewpoint (C),6,4509.968606912773,5411.962328295327,4867.039162655121,932,0.27511986489614626
era5_d2m_c,2 m dewpoint (C),7,5411.962328295327,6313.956049677882,5784.053376310686,762,0.019929192518204478
era5_d2m_c,2 m dewpoint (C),8,6313.956049677882,7215.949771060436,6704.564317751114,603,-0.15615015703337257
era5_d2m_c,2 m dewpoint (C),9,7215.949771060436,8117.943492442991,7629.207724215055,459,-0.22364652607108879
era5_d2m_c,2 m dewpoint (C),10,8117.943492442991,9019.937213825546,8566.468055533569,320,-0.2858803126013469
era5_d2m_c,2 m dewpoint (C),11,9019.937213825546,9921.9309352081,9507.771715950392,188,-0.03667553105177157
era5_d2m_c,2 m dewpoint (C),12,9921.9309352081,10823.92466741458,10418.133901698027,69,0.32109927287560847
era5_dewpoint_depression_log1p,log1p(dewpoint depression),1,0.0,901.9937213825546,515.0510661829162,1083,0.5731026973291528
