hour,era5_rows,clara_matched_cells,clara_observations,clara_mean_radiance,clara_median_radiance,clara_cell_match_rate
2020-12-04 13:00:00,635040,8,8,159.99153,179.34732,1.2597631645250693e-05
2020-12-04 14:00:00,635040,24,24,66.56105,64.68264,3.779289493575208e-05
2020-12-04 15:00:00,635040,3,3,130.45421,130.01863,4.72411186696901e-06
2020-12-04 16:00:00,635040,21,21,176.78055,171.18031,3.306878306878307e-05
2020-12-04 17:00:00,635040,24,24,152.12398,161.7066,3.779289493575208e-05
2020-12-04 18:00:00,635040,0,0,,,0.0
2020-12-04 19:00:00,635040,23,23,96.18595,141.12576,3.621819098009574e-05
2020-12-04 20:00:00,635040,12,12,139.6557,136.8789,1.889644746787604e-05
2020-12-04 21:00:00,635040,12,12,-10.889333,-9.8004,1.889644746787604e-05
2020-12-04 22:00:00,635040,24,24,140.06404,147.33267,3.779289493575208e-05
2020-12-04 23:00:00,635040,0,0,,,0.0
2020-12-05 00:00:00,635040,0,0,,,0.0
2020-12-05 01:00:00,635040,0,0,,,0.0
2020-12-05 02:00:00,635040,0,0,,,0.0
2020-12-05 03:00:00,635040,0,0,,,0.0
2020-12-05 04:00:00,635040,0,0,,,0.0
2020-12-05 05:00:00,635040,0,0,,,0.0
2020-12-05 06:00:00,635040,0,0,,,0.0
2020-12-05 07:00:00,635040,0,0,,,0.0
2020-12-05 08:00:00,635040,0,0,,,0.0
2020-12-05 09:00:00,635040,0,0,,,0.0
2020-12-05 10:00:00,635040,0,0,,,0.0
2020-12-05 11:00:00,635040,0,0,,,0.0
2020-12-05 12:00:00,635040,0,0,,,0.0
2020-12-05 13:00:00,635040,0,0,,,0.0
2020-12-05 14:00:00,635040,0,0,,,0.0
2020-12-05 15:00:00,635040,0,0,,,0.0
2020-12-05 16:00:00,635040,0,0,,,0.0
2020-12-05 17:00:00,635040,0,0,,,0.0
2020-12-05 18:00:00,635040,0,0,,,0.0
2020-12-05 19:00:00,635040,0,0,,,0.0
2020-12-05 20:00:00,635040,0,0,,,0.0
2020-12-05 21:00:00,635040,0,0,,,0.0
2020-12-05 22:00:00,635040,0,0,,,0.0
2020-12-05 23:00:00,635040,0,0,,,0.0
2020-12-06 00:00:00,635040,0,0,,,0.0
2020-12-06 01:00:00,635040,0,0,,,0.0
2020-12-06 02:00:00,635040,0,0,,,0.0
2020-12-06 03:00:00,635040,0,0,,,0.0
2020-12-06 04:00:00,635040,0,0,,,0.0
2020-12-06 05:00:00,635040,0,0,,,0.0
2020-12-06 06:00:00,635040,0,0,,,0.0
