fold_id,space_fold,time_fold,n_train,n_test,alpha,rmse,mae,r2,baseline_rmse,baseline_mae,baseline_r2
space0_time0,0,0,580,47,3.3838551534282333,61.186059977301056,52.37300111096585,-0.2735142903912158,63.57284379240721,56.21091356165518,-0.37480823427423093
space0_time1,0,1,562,52,3.3838551534282333,80.08670811719126,71.45371037004755,-0.40217123340619243,80.3112295109426,72.80702657769585,-0.4100441686043912
space0_time2,0,2,606,109,2.5808615404180766,94.19474927532953,83.18384831631342,-0.05470495522988128,98.40174695041709,87.18304297251926,-0.15102091386681238
space0_time3,0,3,568,47,3.874675120456128,89.6511984043742,79.51555262033737,0.004118743967252203,89.85820966309493,80.29298906695408,-0.00048569309100576774
space1_time0,1,0,644,83,1.311133937421563,97.8470220774871,83.99959309259603,-0.08439609905161016,96.4954152451578,84.22585389633151,-0.05464447039272735
space1_time1,1,1,632,94,1.7190722018585747,80.5239368262735,66.79241049169154,0.23005754301539327,91.7689881238105,80.59711372376356,-3.587782524405725e-07
space1_time3,1,3,599,50,1.7190722018585747,84.01845516171078,70.97753895136593,-0.47495389736175775,69.53049648421714,57.41258544598677,-0.010135706363499253
space2_time0,2,0,600,38,0.44366873309786115,96.10117811507779,87.80036258561171,0.05551251063228002,98.89858084738763,90.41900369310592,-0.0002738275698250803
space2_time1,2,1,577,38,1.1450475699382812,92.64370591230328,86.23592997590235,-0.04700886567091267,100.75351787079208,85.28067207336427,-0.23833731005749925
space2_time2,2,2,600,74,4.436687330978616,98.98385711805375,84.20440823238528,0.12139646467933995,107.2799101006793,89.8189862023173,-0.0320506274707959
space2_time3,2,3,626,76,2.955209235202888,91.58857434749262,83.58218449222026,-0.2831784787721585,80.9846650495026,70.32774265500625,-0.0032520362327614905
space3_time0,3,0,540,71,4.436687330978616,64.73246852264826,53.24983661217116,-8.984930032957465,29.14751478531612,22.804512514254046,-1.0244345981309326
space3_time1,3,1,524,78,11.450475699382812,39.76690789767336,34.82624526541864,-4.825574769839013,24.906358003498067,20.09417822568541,-1.2851545964008508
space3_time2,3,2,525,92,5.817091329374358,43.489882765218326,35.52241206371327,-3.8716921515349343,24.713899518030832,18.98146050387041,-0.5732071666427045
space3_time3,3,3,535,78,5.817091329374358,32.01511614019315,26.786217014104032,-1.7566544269921205,30.6054425062274,25.43845334408411,-1.5192396874972984
