fold_id,space_fold,time_fold,n_train,n_test,alpha,feature,coefficient_on_standardized_x,abs_coefficient,feature_group
space0_time1,0,1,562,52,3.3838551534282333,era5_tco3,0.0,0.0,Atmospheric
space0_time1,0,1,562,52,3.3838551534282333,era5_skt,-0.0,0.0,Atmospheric
space0_time1,0,1,562,52,3.3838551534282333,era5_tsn,-0.0,0.0,Atmospheric
space0_time1,0,1,562,52,3.3838551534282333,era5_fal,-0.0,0.0,Atmospheric
space0_time1,0,1,562,52,3.3838551534282333,era5_lmlt,-0.0,0.0,Atmospheric
space0_time1,0,1,562,52,3.3838551534282333,era5_lict,3.018872309141219,3.018872309141219,Atmospheric
space0_time1,0,1,562,52,3.3838551534282333,era5_deg0l,-0.0,0.0,Atmospheric
space0_time1,0,1,562,52,3.3838551534282333,era5_avg_sdlwrf,-0.0,0.0,Atmospheric
space0_time1,0,1,562,52,3.3838551534282333,era5_avg_snlwrf,-0.0,0.0,Atmospheric
space0_time1,0,1,562,52,3.3838551534282333,era5_avg_snlwrfcs,-0.0,0.0,Atmospheric
space0_time1,0,1,562,52,3.3838551534282333,hour,0.0,0.0,Time
space0_time1,0,1,562,52,3.3838551534282333,latitude,8.480021292714328,8.480021292714328,Space
space0_time1,0,1,562,52,3.3838551534282333,longitude,-0.0,0.0,Space
space0_time2,0,2,606,109,2.5808615404180766,era5_swvl1,-0.0,0.0,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_stl1,-0.0,0.0,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_cl,0.0,0.0,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_cvl,0.0,0.0,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_cvh,-0.0,0.0,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_tvl,0.0,0.0,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_tvh,0.0,0.0,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_siconc,-4.021898108337612,4.021898108337612,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_asn,-0.0,0.0,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_sst,0.0,0.0,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_slt,0.0,0.0,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_lai_lv,-0.0,0.0,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_lai_hv,-6.25603943478442,6.25603943478442,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_sp,1.5064599958273892,1.5064599958273892,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_tcw,-0.0,0.0,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_tcwv,-18.817615105060938,18.817615105060938,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_msl,3.62418544057135,3.62418544057135,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_t2m,-0.0,0.0,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_lsm,-0.0,0.0,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_lcc,0.0,0.0,Atmospheric
space0_time2,0,2,606,109,2.5808615404180766,era5_mcc,-0.0,0.0,Atmospheric
