feature,feature_group,mean_coefficient,median_coefficient,std_coefficient,mean_abs_coefficient,max_abs_coefficient,n_folds,nonzero_folds,nonzero_share
era5_tcwv,Atmospheric,-12.184682348876288,-11.99339094434396,9.498239737602859,12.184682348876288,33.03235446789896,15,13,0.8666666666666667
latitude,Space,9.206982008864513,9.108626710137369,7.9519295003986645,9.206982008864513,24.28462775556676,15,11,0.7333333333333333
longitude,Space,-9.185491008323416,-10.845036725025896,6.375852490895427,9.185491008323416,17.846138228221612,15,13,0.8666666666666667
era5_cape,Atmospheric,-8.613620165762525,-9.583608827014206,3.9283102023578254,8.613620165762525,12.816306577447767,15,15,1.0
hour,Time,-3.6963644288859716,0.0,6.481627872278058,4.55210946439974,19.44846455905095,15,9,0.6
era5_d2m_c,Atmospheric,4.395146333904239,0.0,7.72196897299688,4.395146333904239,21.293408867794724,15,4,0.26666666666666666
era5_msl,Atmospheric,4.1888932120809335,2.952022516746586,3.204814607715733,4.1888932120809335,9.862333970607231,15,14,0.9333333333333333
era5_dewpoint_depression,Atmospheric,-3.87553236174151,-2.0286544910349944,4.9561027488259155,4.023981557387238,14.041655709106575,15,11,0.7333333333333333
era5_sp,Atmospheric,1.7519846565071928,2.062830789709042,1.9235607580630243,1.7519846565071928,5.896288258205115,15,8,0.5333333333333333
era5_blh,Atmospheric,1.7470192268852225,-0.0,3.3262320661340206,1.7470192268852225,12.36703817321293,15,7,0.4666666666666667
era5_wind10_speed,Atmospheric,-1.3191086250012127,0.0,4.436621142740887,1.3191086250012127,17.214170259548474,15,3,0.2
era5_i10fg,Atmospheric,1.1084210169927111,0.0,3.129479093956377,1.1084210169927111,12.181334727231947,15,4,0.26666666666666666
era5_tcc,Atmospheric,-1.0021124524760103,-0.0,2.377905630101965,1.0021124524760103,9.090433756500179,15,5,0.3333333333333333
era5_hcc,Atmospheric,-0.8464143555593736,-0.0,1.446946881750095,0.8464143555593736,4.447652738103762,15,5,0.3333333333333333
era5_tp,Atmospheric,0.5487556862890304,0.0,1.1787246251634462,0.5487556862890304,3.3844258845087722,15,4,0.26666666666666666
era5_cp,Atmospheric,-0.3593494799956894,-0.0,1.044097719814327,0.3593494799956894,4.0241565060583975,15,3,0.2
era5_cloud_layer_sum,Atmospheric,-0.3496107582137439,-0.0,0.9406216322292855,0.3496107582137439,3.574442003879259,15,3,0.2
era5_lcc,Atmospheric,-0.16241918302837297,0.0,0.6737833830422697,0.2943391675872087,2.0728278780194014,15,4,0.26666666666666666
era5_strd,Atmospheric,0.2749946590642272,-0.0,1.0650497348517383,0.2749946590642272,4.124919885963408,15,1,0.06666666666666667
era5_mcc,Atmospheric,0.026366157203975515,-0.0,0.2536011859215125,0.08652710204402073,0.8466994443599718,15,3,0.2
era5_t2m_c,Atmospheric,0.0,0.0,0.0,0.0,0.0,15,0,0.0
