fold_id,space_fold,time_fold,n_train,n_test,alpha,rmse,mae,r2,baseline_rmse,baseline_mae,baseline_r2
space0_time0,0,0,580,47,3.3838551534282333,61.321688748928175,53.48513135593855,-0.2791664476155826,63.57284379240721,56.21091356165518,-0.37480823427423093
space0_time1,0,1,562,52,6.660846290809154,78.72634162226139,70.82722843952986,-0.3549407620209639,80.3112295109426,72.80702657769585,-0.4100441686043912
space0_time2,0,2,606,109,1.9684194472866112,94.15178954568302,82.2286256548975,-0.05374312863607966,98.40174695041709,87.18304297251926,-0.15102091386681238
space0_time3,0,3,568,47,3.874675120456128,88.76907841522898,78.95840038941843,0.02362020870296988,89.85820966309493,80.29298906695408,-0.00048569309100576774
space1_time0,1,0,644,83,0.7626985859023444,96.0159926934755,82.01398135003,-0.044190827728336934,96.4954152451578,84.22585389633151,-0.05464447039272735
space1_time1,1,1,632,94,1.1450475699382812,82.97702176369245,68.9337497645925,0.18243186639837772,91.7689881238105,80.59711372376356,-3.587782524405725e-07
space1_time3,1,3,599,50,0.7626985859023444,86.39879922791887,72.08860566612772,-0.5597122217677148,69.53049648421714,57.41258544598677,-0.010135706363499253
space2_time0,2,0,600,38,0.44366873309786115,80.9273643357506,70.33694240431409,0.3302240039086003,98.89858084738763,90.41900369310592,-0.0002738275698250803
space2_time1,2,1,577,38,2.955209235202888,85.2911119802996,75.12107144810642,0.11258641330538022,100.75351787079208,85.28067207336427,-0.23833731005749925
space2_time2,2,2,600,74,5.080218046913023,102.12833277798498,87.36159612480334,0.06468761565655268,107.2799101006793,89.8189862023173,-0.0320506274707959
space2_time3,2,3,626,76,3.874675120456128,88.83140529483275,80.58468512987228,-0.20708411435160623,80.9846650495026,70.32774265500625,-0.0032520362327614905
space3_time0,3,0,540,71,5.080218046913023,61.80857096353761,51.816409780751876,-8.103284038396481,29.14751478531612,22.804512514254046,-1.0244345981309326
space3_time1,3,1,524,78,13.11133937421563,35.42045207045657,30.730563351101956,-3.6217168341586214,24.906358003498067,20.09417822568541,-1.2851545964008508
space3_time2,3,2,525,92,6.660846290809154,37.17656286534333,30.582968199886484,-2.559933068506962,24.713899518030832,18.98146050387041,-0.5732071666427045
space3_time3,3,3,535,78,5.080218046913023,34.06788620435559,29.128916128004956,-2.1214942488522928,30.6054425062274,25.43845334408411,-1.5192396874972984
