fold_id,space_fold,time_fold,n_train,n_test,alpha,feature,coefficient_on_standardized_x,abs_coefficient,feature_group
space0_time2,0,2,606,109,1.9684194472866112,era5_sp,3.1455436159276102,3.1455436159276102,Atmospheric
space0_time2,0,2,606,109,1.9684194472866112,era5_msl,4.330983784973812,4.330983784973812,Atmospheric
space0_time2,0,2,606,109,1.9684194472866112,era5_i10fg,1.8949746241314436,1.8949746241314436,Atmospheric
space0_time2,0,2,606,109,1.9684194472866112,hour,5.7861965778733015,5.7861965778733015,Time
space0_time2,0,2,606,109,1.9684194472866112,latitude,2.1396878029540543,2.1396878029540543,Space
space0_time2,0,2,606,109,1.9684194472866112,longitude,-10.740355922798617,10.740355922798617,Space
space0_time3,0,3,568,47,3.874675120456128,era5_tcc,-2.4866152347103774,2.4866152347103774,Atmospheric
space0_time3,0,3,568,47,3.874675120456128,era5_lcc,0.0,0.0,Atmospheric
space0_time3,0,3,568,47,3.874675120456128,era5_mcc,-0.0,0.0,Atmospheric
space0_time3,0,3,568,47,3.874675120456128,era5_hcc,-0.0,0.0,Atmospheric
space0_time3,0,3,568,47,3.874675120456128,era5_cloud_layer_sum,-0.0,0.0,Atmospheric
space0_time3,0,3,568,47,3.874675120456128,era5_strd,0.0,0.0,Atmospheric
space0_time3,0,3,568,47,3.874675120456128,era5_t2m_c,0.0,0.0,Atmospheric
space0_time3,0,3,568,47,3.874675120456128,era5_d2m_c,0.0,0.0,Atmospheric
space0_time3,0,3,568,47,3.874675120456128,era5_dewpoint_depression,0.0,0.0,Atmospheric
space0_time3,0,3,568,47,3.874675120456128,era5_tcwv,-20.53085257714845,20.53085257714845,Atmospheric
space0_time3,0,3,568,47,3.874675120456128,era5_wind10_speed,-0.0,0.0,Atmospheric
space0_time3,0,3,568,47,3.874675120456128,era5_tp,-0.0,0.0,Atmospheric
space0_time3,0,3,568,47,3.874675120456128,era5_cp,0.0,0.0,Atmospheric
space0_time3,0,3,568,47,3.874675120456128,era5_cape,-8.975553438765042,8.975553438765042,Atmospheric
space0_time3,0,3,568,47,3.874675120456128,era5_blh,-0.0,0.0,Atmospheric
space0_time3,0,3,568,47,3.874675120456128,era5_sp,0.0,0.0,Atmospheric
space0_time3,0,3,568,47,3.874675120456128,era5_msl,2.471581536937892,2.471581536937892,Atmospheric
space0_time3,0,3,568,47,3.874675120456128,era5_i10fg,-0.0,0.0,Atmospheric
space0_time3,0,3,568,47,3.874675120456128,hour,-0.0,0.0,Time
space0_time3,0,3,568,47,3.874675120456128,latitude,0.0,0.0,Space
space0_time3,0,3,568,47,3.874675120456128,longitude,-10.845036725025896,10.845036725025896,Space
space1_time0,1,0,644,83,0.7626985859023444,era5_tcc,-0.0,0.0,Atmospheric
space1_time0,1,0,644,83,0.7626985859023444,era5_lcc,-1.352859751597461,1.352859751597461,Atmospheric
space1_time0,1,0,644,83,0.7626985859023444,era5_mcc,-0.4402236822953942,0.4402236822953942,Atmospheric
space1_time0,1,0,644,83,0.7626985859023444,era5_hcc,-0.0,0.0,Atmospheric
space1_time0,1,0,644,83,0.7626985859023444,era5_cloud_layer_sum,-3.574442003879259,3.574442003879259,Atmospheric
space1_time0,1,0,644,83,0.7626985859023444,era5_strd,-0.0,0.0,Atmospheric
space1_time0,1,0,644,83,0.7626985859023444,era5_t2m_c,0.0,0.0,Atmospheric
space1_time0,1,0,644,83,0.7626985859023444,era5_d2m_c,16.00477074317976,16.00477074317976,Atmospheric
space1_time0,1,0,644,83,0.7626985859023444,era5_dewpoint_depression,-8.286092407366759,8.286092407366759,Atmospheric
space1_time0,1,0,644,83,0.7626985859023444,era5_tcwv,-20.764582063998834,20.764582063998834,Atmospheric
space1_time0,1,0,644,83,0.7626985859023444,era5_wind10_speed,-0.27757126767807594,0.27757126767807594,Atmospheric
space1_time0,1,0,644,83,0.7626985859023444,era5_tp,3.155783562751489,3.155783562751489,Atmospheric
space1_time0,1,0,644,83,0.7626985859023444,era5_cp,0.0,0.0,Atmospheric
space1_time0,1,0,644,83,0.7626985859023444,era5_cape,-8.178267891792602,8.178267891792602,Atmospheric
space1_time0,1,0,644,83,0.7626985859023444,era5_blh,3.9377125441728813,3.9377125441728813,Atmospheric
space1_time0,1,0,644,83,0.7626985859023444,era5_sp,2.5271116823461433,2.5271116823461433,Atmospheric
space1_time0,1,0,644,83,0.7626985859023444,era5_msl,8.081989099602072,8.081989099602072,Atmospheric
space1_time0,1,0,644,83,0.7626985859023444,era5_i10fg,0.0,0.0,Atmospheric
space1_time0,1,0,644,83,0.7626985859023444,hour,-5.99703011225133,5.99703011225133,Time
space1_time0,1,0,644,83,0.7626985859023444,latitude,15.286429974679375,15.286429974679375,Space
space1_time0,1,0,644,83,0.7626985859023444,longitude,-4.347170397756419,4.347170397756419,Space
